PROV1;Abbeville;;;;;;;;;;x
PROV10;Allanton;;;;;;;;;;x
PROV100;Bronston;;;;;;;;;;x
PROV101;Broussard;;;;;;;;;;x
PROV102;Bruce;;;;;;;;;;x
PROV103;Bryceville;;;;;;;;;;x
PROV104;Buckhead Ridge;;;;;;;;;;x
PROV105;Buras Triump;;;;;;;;;;x
PROV106;Cabaiguan;;;;;;;;;;x
PROV107;Cabanas;;;;;;;;;;x
PROV108;Caimito;;;;;;;;;;x
PROV109;Calcasieu Lake;;;;;;;;;;x
PROV11;Alligator;;;;;;;;;;x
PROV110;Calimete;;;;;;;;;;x
PROV111;Callahan;;;;;;;;;;x
PROV112;Camarioca;;;;;;;;;;x
PROV113;Cameron;;;;;;;;;;x
PROV114;Cameron Prairie Wildlife Reserve;;;;;;;;;;x
PROV115;Camp Ocala;;;;;;;;;;x
PROV116;Campbell;;;;;;;;;;x
PROV117;Canal;;;;;;;;;;x
PROV118;Cancun;;;;;;;;;;x
PROV119;Candelaria;;;;;;;;;;x
PROV12;Alonso De Rojas;;;;;;;;;;x
PROV120;Cape Carnaval;;;;;;;;;;x
PROV121;Cape Romano;;;;;;;;;;x
PROV122;Carahatas;;;;;;;;;;x
PROV123;Carapachibey;;;;;;;;;;x
PROV124;Caravelle Ranch;;;;;;;;;;x
PROV125;Cardenas;;;;;;;;;;x
PROV126;Carnestown;;;;;;;;;;x
PROV127;Carrabelle;;;;;;;;;;x
PROV128;Carribian Ocean;;;;;;;;;;x
PROV129;Cascajal;;;;;;;;;;x
PROV13;Altoona;;;;;;;;;;x
PROV130;Caucel;;;;;;;;;;x
PROV131;Cay Sal;;;;;;;;;;x
PROV132;Cayajabos;;;;;;;;;;x
PROV133;Cayo Boca De Alonso;;;;;;;;;;x
PROV134;Cayo Cabezos;;;;;;;;;;x
PROV135;Cayo Campos;;;;;;;;;;x
PROV136;Cayo Ciprey;;;;;;;;;;x
PROV137;Cayo Cruz Del Padre;;;;;;;;;;x
PROV138;Cayo Diego Perez;;;;;;;;;;x
PROV139;Cayo Divisa;;;;;;;;;;x
PROV14;Amelia;;;;;;;;;;x
PROV140;Cayo Largo;;;;;;;;;;x
PROV141;Cayo Ramona;;;;;;;;;;x
PROV142;Cayo Ranas;;;;;;;;;;x
PROV143;Cayos Blancos Del Sur;;;;;;;;;;x
PROV144;Cayos De San Felipe;;;;;;;;;;x
PROV145;Cayos Los Cayuelos;;;;;;;;;;x
PROV146;Cedar Key;;;;;;;;;;x
PROV147;Ceiba Mocha;;;;;;;;;;x
PROV148;Celebration;;;;;;;;;;x
PROV149;Celestun;;;;;;;;;;x
PROV15;Amelia Island;;;;;;;;;;x
PROV150;Centotillo;;;;;;;;;;x
PROV151;Central Everglades;;;;;;;;;;x
PROV152;Central Parque Cienaga De Zapata;;;;;;;;;;x
PROV153;Chackbay;;;;;;;;;;x
PROV154;Chambas;;;;;;;;;;x
PROV155;Charneton;;;;;;;;;;x
PROV156;Chassahowitzka Wildlife Area;;;;;;;;;;x
PROV157;Chelem;;;;;;;;;;x
PROV158;Chemax;;;;;;;;;;x
PROV159;Chiefland;;;;;;;;;;x
PROV16;Apalachicola;;;;;;;;;;x
PROV160;Chiquila;;;;;;;;;;x
PROV161;Chokoloskee;;;;;;;;;;x
PROV162;Cholul;;;;;;;;;;x
PROV163;Chuburna;;;;;;;;;;x
PROV164;Cienfuegos;;;;;;;;;;x
PROV165;Citrus Hills;;;;;;;;;;x
PROV166;Clearwater;;;;;;;;;;x
PROV167;Clermont;;;;;;;;;;x
